"","Comp","Nha","Vha","Gha","area_ha"
"1","1",1443,371.77,36.63,2.71
"2","10",750,148.68,15.3032,1.12
"3","100",1154,171.59,24.5058,2.15
"4","101",677,166.75,23.1466,1.83
"5","102",1292,127.81,19.7522,2.4
"6","103b",1000,156.03,22.3301,1.3
"7","11",792,53.7,8.7705,2.38
"8","12",783,26.02,6.4238,1.3
"9","15",1353,435.17,40.8361,3
"10","16",1390,101.24,16.4581,2.08
"11","17",755,191.53,26.3721,0.99
"12","18a",1283,137.32,20.9952,1.25
"13","18b",1940,22.35,7.136,0.75
"14","21a",980,130.66,18.7734,0.86
"15","22",875,170.08,22.8755,1.44
"16","23",950,135.49,19.5605,0.6
"17","24",966,160.3,23.8643,0.56
"18","26",540,10.21,2.1906,1.11
"19","27",350,7.54,1.562,0.49
"20","28",628,109.19,15.1396,1.18
"21","29",1020,64.69,10.7322,1.15
"22","30",1000,439,39.2548,0.77
"23","32",657,159.8,22.3269,1.22
"24","34",835,199.58,26.3028,2.49
"25","3a",2700,137.73,20.35,0.92
"26","3b",2155,134.22,17.6903,2.17
"27","3c",550,306.04,26.364,0.7
"28","4",528,364.91,26.1513,1.65
"29","41",533,165.15,22.1232,2.24
"30","42",835,284.78,35.4746,3
"31","44",612,343.17,29.1631,2.14
"32","45",1227,143.01,19.2552,2.07
"33","46",2009,90.68,14.2356,2.19
"34","47",1191,504.49,45.2018,1.85
"35","49a",1520,153.26,23.3911,2.6
"36","49b",1150,199.27,27.6155,0.49
"37","50",1100,219.86,29.8547,1.25
"38","51",1100,157.61,23.2787,0.74
"39","52",875,134.47,19.9923,2.3
"40","54",642,238.43,31.2189,1.25
"41","55",1625,499.55,47.2678,0.71
"42","56a",1450,139.18,20.642,0.58
"43","56b",1450,51.65,8.4675,1.26
"44","58",1100,120.31,18.5165,0.47
"45","59a",800,112,17.19,0.22
"46","59b",1441,106.29,17.0337,2.04
"47","5a",200,82.71,7.51,3.04
"48","5b1",900,360.21,32.546,0.48
"49","5c",600,28.75,4.168,0.77
"50","6",885,149.94,21.013,3.72
"51","60",672,184.11,18.9768,4.78
"52","61",1000,85.05,13.3175,1.64
"53","63a",828,124.26,16.4766,1.17
"54","64",520,370.87,30.4867,2.19
"55","66",350,92.35,11.39,0.95
"56","67",966,2074.76,98.8947,0.39
"57","68",533,485.71,34.4967,1.02
"58","69",1463,150.26,17.9001,2.17
"59","7",500,27.12,4.622,0.62
"60","70a",812,61.18,7.3015,2.39
"61","71",1266,104.8,17.3773,0.74
"62","72",733,274.04,33.7947,0.71
"63","73",1462,36.61,6.8735,1.67
"64","74",1100,99.1,15.6884,1.29
"65","76",1466,965.07,79.8507,1.9
"66","77",2046,111.69,16.6106,2.64
"67","78",885,10.44,2.4929,1.5
"68","79",1028,667.32,55.4109,1.6
"69","8",1580,497.46,46.844,1.16
"70","80",1328,187.3,27.1587,1.51
"71","81",863,81.98,7.8494,1.91
"72","82a",1000,262.98,27.3944,1.91
"73","82b",1050,192.92,26.4951,1.46
"74","83",820,540.47,40.2228,1.43
"75","84",660,261.56,22.9226,0.35
"76","84",660,261.56,22.9226,1.21
"77","86a",650,208.83,23.2353,0.42
"78","86b",1075,190.9,26.4232,4.64
"79","9",500,86.32,12.6857,0.59
"80","90",790,174.73,23.407,6.84
"81","92",715,255.36,25.4514,6.17
"82","93",600,245.23,23.9109,1.85
"83","95",970,24.43,5.0041,1.94
"84","96",882,47.04,6.5044,3.19
"85","97",825,145.72,20.0828,0.86
"86","98",616,490.91,39.2441,5.87
"87","99a",1388,175.83,23.3297,1.36
