"","Comp","Species","dbhc","Nha","Vha","Gha","area_ha"
"1","1","Grevillea robusta",2,12,0.48,0.0809,2.71
"2","1","Grevillea robusta",6,62,41.47,3.4756,2.71
"3","1","Grevillea robusta",3,394,45.95,5.5478,2.71
"4","1","Grevillea robusta",4,694,163.62,16.6753,2.71
"5","1","Grevillea robusta",5,275,112.42,10.2526,2.71
"6","1","Grevillea robusta",7,6,7.82,0.5979,2.71
"7","10","Eucalyptus spps",6,75,53.73,4.215,1.12
"8","10","Eucalyptus spps",4,350,76.98,8.3028,1.12
"9","10","Eucalyptus spps",2,125,2.47,0.5337,1.12
"10","10","Eucalyptus spps",3,200,15.5,2.2518,1.12
"11","100","Cupressus lusitanica",2,118,3.43,0.6747,2.15
"12","100","Cupressus lusitanica",3,382,32.04,5.1929,2.15
"13","100","Cupressus lusitanica",4,455,73.92,10.63,2.15
"14","100","Cupressus lusitanica",5,164,45.84,6.0162,2.15
"15","100","Cupressus lusitanica",6,36,16.36,1.992,2.15
"16","101","Juniperus procera ",5,178,51.76,7.083,1.83
"17","101","Juniperus procera ",2,11,0.12,0.0363,1.83
"18","101","Juniperus procera ",3,111,9.64,1.644,1.83
"19","101","Juniperus procera ",4,233,40.77,6.0604,1.83
"20","101","Juniperus procera ",6,144,64.47,8.3228,1.83
"21","102","Cupressus lusitanica",5,21,5.85,0.7709,2.4
"22","102","Cupressus lusitanica",2,200,5.46,1.0869,2.4
"23","102","Cupressus lusitanica",3,650,53.13,8.6452,2.4
"24","102","Cupressus lusitanica",4,421,63.37,9.2492,2.4
"25","103b","Cupressus lusitanica",2,14,0.57,0.1067,1.3
"26","103b","Cupressus lusitanica",3,300,23.86,3.9074,1.3
"27","103b","Cupressus lusitanica",4,514,82.16,11.8574,1.3
"28","103b","Cupressus lusitanica",5,171,49.44,6.4586,1.3
"29","11","Cupressus lusitanica",4,108,16.68,2.4192,2.38
"30","11","Cupressus lusitanica",3,377,29.93,4.8938,2.38
"31","11","Cupressus lusitanica",1,8,0.06,0.0145,2.38
"32","11","Cupressus lusitanica",2,300,7.04,1.4428,2.38
"33","12","Olea africana",3,233,11.58,2.7872,1.3
"34","12","Olea africana",4,50,5.47,1.0865,1.3
"35","12","Juniperus procera",4,17,2.04,0.3738,1.3
"36","12","Olea africana",1,17,0.05,0.0237,1.3
"37","12","Olea africana",2,417,5.96,1.8902,1.3
"38","12","Juniperus procera",2,50,0.92,0.2625,1.3
"39","15","Grevillea robusta",2,7,0.33,0.0519,3
"40","15","Grevillea robusta",3,320,37.03,4.4861,3
"41","15","Grevillea robusta",4,467,110.05,11.2198,3
"42","15","Grevillea robusta",5,427,183.11,16.5469,3
"43","15","Grevillea robusta",6,100,71.11,5.8914,3
"44","15","Grevillea robusta",7,33,33.53,2.64,3
"45","16","Cupressus lusitanica",1,50,0.21,0.0612,2.08
"46","16","Cupressus lusitanica",4,230,33.85,4.9587,2.08
"47","16","Cupressus lusitanica",2,330,9.68,1.9091,2.08
"48","16","Cupressus lusitanica",3,780,57.49,9.5291,2.08
"49","17","Juniperus procera ",5,133,35.74,4.9548,0.99
"50","17","Juniperus procera ",4,267,41.32,6.2702,0.99
"51","17","Juniperus procera ",3,144,12.07,2.0763,0.99
"52","17","Juniperus procera ",6,167,72.9,9.4363,0.99
"53","17","Juniperus procera ",7,44,29.5,3.6344,0.99
"54","18a","Cupressus lusitanica",2,133,4.18,0.816,1.25
"55","18a","Olea africana",3,83,3.36,0.8468,1.25
"56","18a","Cupressus lusitanica",3,300,22.55,3.7202,1.25
"57","18a","Cupressus lusitanica",4,400,66.67,9.5503,1.25
"58","18a","Cupressus lusitanica",5,133,35.38,4.6887,1.25
"59","18a","Olea africana",2,217,2.98,0.9562,1.25
"60","18a","Olea africana",4,17,2.19,0.417,1.25
"61","18b","Olea africana",4,20,1.81,0.3774,0.75
"62","18b","Olea africana",1,540,1.69,0.7744,0.75
"63","18b","Olea africana",2,1240,14.14,4.7326,0.75
"64","18b","Olea africana",3,140,4.72,1.2516,0.75
"65","21a","Cupressus lusitanica",2,160,5.21,1.0086,0.86
"66","21a","Cupressus lusitanica",3,400,28.07,4.7008,0.86
"67","21a","Cupressus lusitanica",4,240,37.84,5.472,0.86
"68","21a","Cupressus lusitanica",6,60,26.56,3.2458,0.86
"69","21a","Cupressus lusitanica",5,120,32.99,4.3462,0.86
"70","22","Cupressus lusitanica",2,112,3.92,0.7531,1.44
"71","22","Cupressus lusitanica",5,188,57.51,7.4385,1.44
"72","22","Cupressus lusitanica",4,238,38.59,5.5541,1.44
"73","22","Cupressus lusitanica",8,12,12.62,1.3806,1.44
"74","22","Cupressus lusitanica",6,50,20.76,2.5619,1.44
